TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
FRTA3;4,96;;-0,93;-0,16;0,30;-24,92;-45,44;-69,86;-1,43;-9,92;-8,49;;0,65;-0,12;-0,36;0,06;-17,14;-32,68;320,18;-1,91;2,91;0,47;-19,35;;26.927,79;-31,53;-5,41;0,00;10.309.102,12
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;4,74;;1,33;0,45;0,40;100,00;88,25;87,04;1,31;1,10;-0,23;-0,08;1,15;12,20;-0,47;1,26;34,28;29,91;31,51;0,87;0,13;0,34;;;607.669,64;10,38;3,56;;490.199.863,04
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;32,25;9,12;6,29;1,59;0,79;83,28;82,27;37,38;2,86;3,91;1,07;0,60;2,35;-5,15;-0,86;0,34;25,35;12,54;27,61;0,49;0,51;0,34;3,60;21,53;9.700,00;20,22;5,13;0,06;3.030.364.051,47
GEPA4;32,01;9,18;6,24;1,58;0,78;83,28;82,27;37,38;2,84;3,91;1,07;0,60;2,33;-5,11;-0,85;0,34;25,35;12,54;27,61;0,49;0,51;0,34;3,60;21,53;15.468,69;20,22;5,13;0,06;3.030.364.051,47
GETT11;3,17;10,02;45,11;1,77;0,12;33,79;15,24;9,84;29,14;;4,34;0,26;4,44;3,95;-3,05;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;5.080.088,81;1,81;0,07;;
GETT3;1,60;9,51;22,63;0,89;0,06;33,79;15,24;9,84;14,62;;4,34;0,26;2,23;1,98;-1,53;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;903.042,42;1,81;0,07;;
GETT4;1,61;10,40;22,77;0,89;0,06;33,79;15,24;9,84;14,71;;4,34;0,26;2,24;1,99;-1,54;1,03;3,91;0,26;2,41;0,07;0,93;0,03;;;817.711,53;1,81;0,07;;
GFSA3;1,79;;9,81;0,34;0,15;25,06;12,25;5,21;4,17;9,27;5,10;0,42;0,51;0,35;-0,48;2,44;3,47;1,48;4,31;0,43;0,57;0,28;-9,34;-3,83;14.463.173,69;5,23;0,18;-0,05;600.653.394,06
GGBR3;22,28;13,95;2,91;0,92;0,50;25,98;27,09;18,45;1,98;2,77;0,46;0,21;0,54;1,70;-0,95;2,70;31,63;17,24;24,01;0,55;0,45;0,93;0,11;;1.262.179,42;23,89;7,56;0,00;44.135.786.235,60
GGBR4;27,51;11,20;3,63;1,15;0,63;25,98;27,09;18,45;2,47;2,77;0,46;0,21;0,67;2,11;-1,18;2,70;31,63;17,24;24,01;0,55;0,45;0,93;0,11;;281.723.383,42;23,89;7,56;0,00;44.135.786.235,60
GGPS3;13,91;1,34;26,57;4,31;1,68;18,46;9,11;5,70;16,62;16,56;-0,01;0,00;1,51;6,47;-3,56;1,97;16,23;6,33;11,90;0,39;0,61;1,11;;;26.781.069,42;3,25;0,53;;9.318.171.428,40
GMAT3;5,84;;17,22;2,08;1,40;23,59;5,78;4,97;14,81;15,30;0,44;0,06;0,86;2,78;-4,30;3,96;12,09;8,14;11,41;0,67;0,32;1,64;;;23.710.753,50;2,81;0,34;0,89;12.946.768.022,94
GNDI3;66,68;0,43;-3.558,04;5,79;2,36;18,55;3,28;-0,10;103,67;109,39;4,90;0,27;3,40;79,05;-2,99;1,17;-0,16;-0,07;2,22;0,41;0,59;0,69;29,03;;257.761.294,83;11,47;-0,02;35,08;41.545.050.902,22
GOAU3;10,09;23,27;2,65;0,72;0,14;25,98;27,04;5,81;0,57;1,00;0,37;0,47;0,15;0,45;-0,27;2,80;27,27;5,32;23,28;0,19;0,44;0,91;0,11;;860.237,11;13,81;3,76;0,00;11.908.731.916,30
GOAU4;11,46;20,28;3,04;0,83;0,16;25,98;27,04;5,81;0,65;1,00;0,37;0,47;0,18;0,52;-0,31;2,80;27,27;5,32;23,28;0,19;0,44;0,91;0,11;;85.904.270,94;13,81;3,76;0,00;11.908.731.916,30
GOLL4;16,23;;-11,67;-2,81;3,96;1,09;-37,56;-68,65;-21,33;-7,11;-4,44;;8,01;-6,07;-5,04;0,25;-24,05;-33,93;39,22;-1,41;2,41;0,49;-8,21;;89.471.390,89;-5,75;-1,38;0,52;6.426.051.262,18
GPAR3;41,52;1,22;25,05;2,10;1,53;77,09;104,77;61,22;14,64;14,00;-0,64;-0,09;15,33;8,98;-1,94;5,32;8,39;6,11;8,99;0,73;0,27;0,10;40,68;;4.152,00;19,76;1,66;1,45;3.235.588.496,64
GPIV33;4,93;;0,30;0,11;0,05;100,00;89,21;58,32;0,20;-0,71;-0,91;-0,52;0,17;0,21;-0,08;6,79;37,61;17,95;32,62;0,48;0,19;0,31;;;292.836,39;43,90;16,51;0,00;223.478.402,49
GRAO3;0,00;;0,00;0,00;0,00;1,42;0,54;0,48;0,00;8,11;8,11;4,27;0,00;0,00;0,00;1,01;46,95;2,29;2,46;0,05;0,95;4,72;;;;0,24;0,11;;0,00
GRND3;8,39;10,33;11,13;1,85;1,70;44,99;18,53;28,43;17,07;13,66;-3,36;-0,36;3,16;2,63;-5,85;11,45;16,65;15,30;9,63;0,92;0,08;0,54;-2,95;4,27;13.323.136,42;4,52;0,75;0,09;7.533.036.000,00
GSHP3;29,99;;-0,91;-0,09;0,03;71,30;73,01;-52,82;0,66;18,38;17,72;;0,48;1,07;-0,04;1,16;-9,79;-3,62;6,81;-0,37;1,37;0,07;-18,98;;29.520,61;-336,57;-32,95;0,01;57.843.782,31
GUAR3;10,16;4,64;9,78;0,98;0,37;51,01;7,26;7,44;10,02;13,25;3,32;0,32;0,73;1,84;-0,92;1,52;10,01;3,81;3,34;0,38;0,62;0,51;2,55;8,08;10.950.140,89;10,34;1,03;0,01;5.006.976.000,00
